"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","3.7247","3.7424","3.7674","3.7221","","-0.32%"
"10/01/2024","3.7365","3.7438","3.8277","3.7032","","0.53%"
"09/01/2024","3.7167","3.6218","3.7971","3.6179","","2.63%"
"08/01/2024","3.6216","3.7668","3.8533","3.6141","","-3.95%"
"07/01/2024","3.7706","3.7664","3.7931","3.5786","","0.13%"
"06/01/2024","3.7656","3.7194","3.7819","3.6470","","1.56%"
"05/01/2024","3.7076","3.7342","3.7651","3.6523","","-0.53%"
"04/01/2024","3.7274","3.6943","3.8332","3.6529","","1.30%"
"03/01/2024","3.6795","3.5721","3.7011","3.5443","","3.15%"
"02/01/2024","3.5671","3.6416","3.7093","3.5480","","-1.94%"
"01/01/2024","3.6376","3.6132","3.8015","3.5954","","1.02%"
"12/01/2023","3.6008","3.7248","3.7482","3.5945","","-3.28%"
"11/01/2023","3.7231","4.0426","4.0531","3.6679","","-7.77%"
"10/01/2023","4.0369","3.8107","4.0877","3.8059","","6.01%"
"09/01/2023","3.8080","3.8015","3.8603","3.7753","","0.19%"
"08/01/2023","3.8009","3.6653","3.8182","3.6295","","3.74%"
"07/01/2023","3.6640","3.7102","3.7309","3.5631","","-1.14%"
"06/01/2023","3.7061","3.7355","3.7562","3.5403","","-0.73%"
"05/01/2023","3.7333","3.6307","3.7509","3.6039","","3.05%"
"04/01/2023","3.6227","3.5993","3.6941","3.5586","","0.76%"
"03/01/2023","3.5953","3.6544","3.7141","3.5273","","-1.49%"
"02/01/2023","3.6496","3.4536","3.6945","3.3883","","5.81%"
"01/01/2023","3.4492","3.5140","3.5599","3.3456","","-1.95%"
"12/01/2022","3.5177","3.4299","3.5470","3.3740","","3.23%"